"yr","naics_code","employee_size","revenue_category","number_of_biz"
"2018","314","5","6","1"
"2018","314","5","7","2"
"2018","314","5","8","2"
"2018","314","5","9","0"
"2018","314","5","10","0"
"2018","314","5","11","0"
"2018","314","5","12","0"
"2018","314","5","13","0"
"2018","314","5","88","5"
"2018","314","6","0","0"
"2018","314","6","1","0"
"2018","314","6","2","0"
"2018","314","6","3","0"
"2018","314","6","4","0"
"2018","314","6","5","0"
"2018","314","6","6","0"
"2018","314","6","7","0"
"2018","314","6","8","1"
"2018","314","6","9","1"
"2018","314","6","10","0"
"2018","314","6","11","0"
"2018","314","6","12","0"
"2018","314","6","13","0"
"2018","314","6","88","2"
"2018","314","7","0","0"
"2018","314","7","1","0"
"2018","314","7","2","0"
"2018","314","7","3","0"
"2018","314","7","4","0"
"2018","314","7","5","0"
"2018","314","7","6","0"
"2018","314","7","7","0"
"2018","314","7","8","0"
"2018","314","7","9","0"
"2018","314","7","10","0"
"2018","314","7","11","0"
"2018","314","7","12","0"
"2018","314","7","13","0"
"2018","314","7","88","0"
"2018","314","8","0","0"
"2018","314","8","1","0"
"2018","314","8","2","0"
"2018","314","8","3","0"
"2018","314","8","4","0"
"2018","314","8","5","0"
"2018","314","8","6","0"
"2018","314","8","7","0"
"2018","314","8","8","0"
"2018","314","8","9","0"
"2018","314","8","10","0"
"2018","314","8","11","0"
"2018","314","8","12","0"
"2018","314","8","13","0"
"2018","314","8","88","0"
"2018","314","9","0","0"
"2018","314","9","1","0"
"2018","314","9","2","0"
"2018","314","9","3","0"
"2018","314","9","4","0"
"2018","314","9","5","0"
"2018","314","9","6","0"
"2018","314","9","7","0"
"2018","314","9","8","0"
"2018","314","9","9","0"
"2018","314","9","10","0"
"2018","314","9","11","0"
"2018","314","9","12","0"
"2018","314","9","13","0"
"2018","314","9","88","0"
"2018","314","10","0","0"
"2018","314","10","1","0"
"2018","314","10","2","0"
"2018","314","10","3","0"
"2018","314","10","4","0"
"2018","314","10","5","0"
"2018","314","10","6","0"
"2018","314","10","7","0"
"2018","314","10","8","0"
"2018","314","10","9","0"
"2018","314","10","10","0"
"2018","314","10","11","0"
"2018","314","10","12","0"
"2018","314","10","13","0"
"2018","314","10","88","0"
"2018","314","11","0","0"
"2018","314","11","1","0"
"2018","314","11","2","0"
"2018","314","11","3","0"
"2018","314","11","4","0"
"2018","314","11","5","0"
"2018","314","11","6","0"
"2018","314","11","7","0"
"2018","314","11","8","0"
"2018","314","11","9","0"
"2018","314","11","10","0"
"2018","314","11","11","0"
"2018","314","11","12","0"
"2018","314","11","13","0"
"2018","314","11","88","0"
"2018","314","12","0","0"
"2018","314","12","1","0"
"2018","314","12","2","0"
"2018","314","12","3","0"
"2018","314","12","4","0"
"2018","314","12","5","0"
"2018","314","12","6","0"
"2018","314","12","7","0"
"2018","314","12","8","0"
"2018","314","12","9","0"
"2018","314","12","10","0"
"2018","314","12","11","0"
"2018","314","12","12","0"
"2018","314","12","13","0"
"2018","314","12","88","0"
"2018","314","88","0","1"
"2018","314","88","1","11"
"2018","314","88","2","32"
"2018","314","88","3","194"
"2018","314","88","4","368"
"2018","314","88","5","42"
"2018","314","88","6","107"
"2018","314","88","7","4"
"2018","314","88","8","3"
"2018","314","88","9","1"
"2018","314","88","10","0"
"2018","314","88","11","0"
"2018","314","88","12","0"
"2018","314","88","13","0"
"2018","314","88","88","763"
"2018","315","1","0","0"
"2018","315","1","1","21"
"2018","315","1","2","22"
"2018","315","1","3","20"
"2018","315","1","4","1"
"2018","315","1","5","0"
"2018","315","1","6","0"
"2018","315","1","7","0"
"2018","315","1","8","0"
"2018","315","1","9","0"
"2018","315","1","10","0"
"2018","315","1","11","0"
"2018","315","1","12","0"
"2018","315","1","13","0"
"2018","315","1","88","64"
"2018","315","2","0","0"
"2018","315","2","1","0"
"2018","315","2","2","0"
"2018","315","2","3","7"
"2018","315","2","4","10"
"2018","315","2","5","12"
"2018","315","2","6","0"
"2018","315","2","7","0"
"2018","315","2","8","0"
"2018","315","2","9","0"
"2018","315","2","10","0"
"2018","315","2","11","0"
"2018","315","2","12","0"
"2018","315","2","13","0"
"2018","315","2","88","29"
"2018","315","3","0","1"
"2018","315","3","1","0"
"2018","315","3","2","0"
"2018","315","3","3","0"
"2018","315","3","4","8"
"2018","315","3","5","7"
"2018","315","3","6","6"
"2018","315","3","7","0"
"2018","315","3","8","0"
"2018","315","3","9","0"
"2018","315","3","10","0"
"2018","315","3","11","0"
"2018","315","3","12","0"
"2018","315","3","13","0"
"2018","315","3","88","22"
"2018","315","4","0","0"
"2018","315","4","1","0"
"2018","315","4","2","0"
"2018","315","4","3","0"
"2018","315","4","4","0"
"2018","315","4","5","3"
"2018","315","4","6","3"
"2018","315","4","7","0"
"2018","315","4","8","0"
"2018","315","4","9","0"
"2018","315","4","10","0"
"2018","315","4","11","0"
"2018","315","4","12","0"
"2018","315","4","13","0"
"2018","315","4","88","6"
"2018","315","5","0","0"
"2018","315","5","1","0"
"2018","315","5","2","0"
"2018","315","5","3","0"
"2018","315","5","4","0"
"2018","315","5","5","0"
"2018","315","5","6","4"
"2018","315","5","7","1"
"2018","315","5","8","0"
"2018","315","5","9","0"
"2018","315","5","10","0"
"2018","315","5","11","0"
"2018","315","5","12","0"
"2018","315","5","13","0"
"2018","315","5","88","5"
"2018","315","6","0","0"
"2018","315","6","1","0"
"2018","315","6","2","0"
"2018","315","6","3","0"
"2018","315","6","4","0"
"2018","315","6","5","0"
"2018","315","6","6","0"
"2018","315","6","7","1"
"2018","315","6","8","0"
"2018","315","6","9","0"
"2018","315","6","10","0"
"2018","315","6","11","0"
"2018","315","6","12","0"
"2018","315","6","13","0"
"2018","315","6","88","1"
"2018","315","7","0","0"
"2018","315","7","1","0"
"2018","315","7","2","0"
"2018","315","7","3","0"
"2018","315","7","4","0"
"2018","315","7","5","0"
"2018","315","7","6","0"
"2018","315","7","7","0"
"2018","315","7","8","0"
"2018","315","7","9","0"
"2018","315","7","10","0"
"2018","315","7","11","0"
"2018","315","7","12","0"
"2018","315","7","13","0"
"2018","315","7","88","0"
"2018","315","8","0","0"
"2018","315","8","1","0"
"2018","315","8","2","0"
"2018","315","8","3","0"
"2018","315","8","4","0"
"2018","315","8","5","0"
"2018","315","8","6","0"
"2018","315","8","7","0"
"2018","315","8","8","0"
"2018","315","8","9","0"
"2018","315","8","10","0"
"2018","315","8","11","0"
"2018","315","8","12","0"
"2018","315","8","13","0"
"2018","315","8","88","0"
"2018","315","9","0","0"
"2018","315","9","1","0"
"2018","315","9","2","0"
"2018","315","9","3","0"
"2018","315","9","4","0"
"2018","315","9","5","0"
"2018","315","9","6","0"
"2018","315","9","7","0"
"2018","315","9","8","0"
"2018","315","9","9","0"
